ROP and JOP Special Purpose Gadgets
Package Variant,Syscall Gadgets,JOP Dispatcher Gadgets,JOP Dataloader Gadgets,JOP Initializers,JOP Trampolines
original,0,0,75,0,1
tree_from_bc,0 (0; 0.0%),0 (0; 0.0%),6 (69; 92.0%),0 (0; 0.0%),0 (1; 100.0%)
COP Special Purpose Gadgets
Package Variant,COP Dispatcher Gadgets,COP Dataloader Gadgets,COP Initializers,COP Strong Trampoline Gadgets,COP Intra-stack Pivot Gadgets
original,0,0,0,0,0
tree_from_bc,0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%)
